record_id,date,site,shift,tickets,resolved,avg_wait_minutes,downtime_minutes
O001,2025-01-03,Alpha,Day,100,92,8.5,10
O002,2025-01-10,Alpha,Night,80,70,12.0,20
O003,2025-01-17,Beta,Day,120,110,7.0,5
O004,2025-01-24,Beta,Night,70,60,15.0,30
O005,2025-02-03,Alpha,Day,110,103,7.5,8
O006,2025-02-10,Alpha,Night,85,78,10.5,15
O007,2025-02-17,Beta,Day,130,122,6.5,4
O008,2025-02-24,Beta,Night,75,68,13.0,25
O009,2025-03-03,Alpha,Day,115,108,7.0,6
O010,2025-03-10,Alpha,Night,90,82,9.5,12
O011,2025-03-17,Beta,Day,140,132,6.0,3
O012,2025-03-24,Beta,Night,80,72,12.0,20
O013,2025-04-03,Alpha,Day,120,115,6.5,5
O014,2025-04-10,Alpha,Night,95,88,8.5,10
O015,2025-04-17,Beta,Day,150,143,5.5,2
O016,2025-04-24,Beta,Night,85,76,,18
