order_id,date,region,category,channel,revenue,cost,profit,units,customer_tier
S001,2025-01-05,North,Hardware,Online,1200,800,400,4,Standard
S002,2025-01-18,South,Software,Partner,900,300,600,3,Premium
S003,2025-02-02,East,Hardware,Retail,1500,1100,400,5,Standard
S004,2025-02-14,West,Services,Online,800,500,300,2,Basic
S005,2025-03-03,North,Software,Online,2000,700,1300,4,Premium
S006,2025-03-21,South,Hardware,Retail,1100,850,250,3,Standard
S007,2025-04-07,East,Services,Partner,1400,900,500,5,Premium
S008,2025-04-19,West,Hardware,Online,1000,750,250,3,Basic
S009,2025-05-02,North,Services,Retail,1600,1000,600,4,Standard
S010,2025-05-20,South,Software,Online,1800,650,1150,5,Premium
S011,2025-06-08,East,Hardware,Partner,1300,2200,-900,4,Standard
S012,2025-06-25,West,Services,Retail,700,480,220,2,Basic
S013,2025-07-06,North,Hardware,Online,1700,1150,550,5,Premium
S014,2025-07-22,South,Services,Partner,1250,800,450,3,Standard
S015,2025-08-10,East,Software,Online,,500,,4,Premium
S016,2025-08-27,West,Hardware,Retail,950,700,250,3,Basic
S016,2025-08-27,West,Hardware,Retail,950,700,250,3,Basic
S017,2025-09-05,North,Software,Partner,2100,750,1350,6,Premium
